,reward,performance,loss,episode,reward_smooth,performance_smooth
385,-75.0,-80.0,16159.557645236511,385.0,-42.93,-48.58
386,-26.0,-36.0,0.0,386.0,-42.88,-48.58
387,-30.0,-30.0,0.0,387.0,-42.88,-48.48
388,-29.0,-29.0,0.0,388.0,-42.87,-48.37
389,-79.0,-89.0,10042.185371902742,389.0,-42.93,-48.48
390,-20.0,-20.0,0.0,390.0,-43.45,-48.9
391,-78.0,-78.0,0.0,391.0,-43.96,-49.36
392,-26.0,-26.0,0.0,392.0,-43.94,-49.24
393,-78.0,-78.0,0.0,393.0,-45.11,-50.31
394,-80.0,-80.0,0.0,394.0,-45.57,-50.67
395,-27.0,-37.0,0.0,395.0,-45.59,-50.79
396,-79.0,-89.0,0.0,396.0,-46.07,-51.27
397,-23.0,-28.0,8578.643033723201,397.0,-45.54,-50.79
398,-29.0,-39.0,0.0,398.0,-45.54,-50.84
399,-30.0,-40.0,0.0,399.0,-45.58,-50.88
400,-25.0,-35.0,4.0,400.0,-44.97,-50.32
401,-26.0,-26.0,0.0,401.0,-44.86,-50.11
402,-26.0,-36.0,22418.43629457055,402.0,-44.28,-49.63
403,-24.0,-34.0,0.0,403.0,-43.77,-49.22
404,-30.0,-40.0,0.0,404.0,-43.21,-48.76
405,-20.0,-20.0,4706.4402,405.0,-43.17,-48.72
406,-34.0,-34.0,0.0,406.0,-43.22,-48.67
407,-34.0,-44.0,0.0,407.0,-42.78,-48.28
408,-29.0,-29.0,0.0,408.0,-42.76,-48.26
409,-27.0,-32.0,0.0,409.0,-42.26,-47.81
410,-28.0,-38.0,1.0,410.0,-42.24,-47.79
411,-78.0,-78.0,0.0,411.0,-42.75,-48.3
412,-26.0,-36.0,0.0,412.0,-42.71,-48.31
413,-86.0,-91.0,0.0,413.0,-42.74,-48.29
414,-30.0,-30.0,0.0,414.0,-42.74,-48.19
415,-80.0,-90.0,4289.321516861601,415.0,-42.7,-48.25
416,-29.0,-39.0,0.0,416.0,-42.14,-47.79
417,-27.0,-27.0,8.0,417.0,-41.61,-47.26
418,-83.0,-88.0,0.0,418.0,-42.18,-47.78
419,-31.0,-46.0,2091.039698851601,419.0,-42.22,-47.87
420,-28.0,-38.0,4.0,420.0,-41.7,-47.45
421,-30.0,-50.0,4134.083169341484,421.0,-41.69,-47.59
422,-17.0,-27.0,0.0,422.0,-41.59,-47.49
423,-30.0,-35.0,4390.351473974254,423.0,-41.58,-47.48
424,-31.0,-41.0,0.0,424.0,-41.62,-47.52
425,-27.0,-32.0,0.0,425.0,-41.5,-47.35
426,-30.0,-40.0,0.0,426.0,-41.09,-46.94
427,-36.0,-36.0,0.0,427.0,-41.16,-46.96
428,-85.0,-85.0,0.0,428.0,-41.72,-47.42
429,-33.0,-43.0,0.0,429.0,-41.68,-47.38
430,-81.0,-86.0,7867.074954793163,430.0,-42.18,-47.83
